"year","level","decade"
1875,580.38,1870
1876,581.86,1870
1877,580.97,1870
1878,580.8,1870
1879,579.79,1870
1880,580.39,1880
1881,580.42,1880
1882,580.82,1880
1883,581.4,1880
1884,581.32,1880
1885,581.44,1880
1886,581.68,1880
1887,581.17,1880
1888,580.53,1880
1889,580.01,1880
1890,579.91,1890
1891,579.14,1890
1892,579.16,1890
1893,579.55,1890
1894,579.67,1890
1895,578.44,1890
1896,578.24,1890
1897,579.1,1890
1898,579.09,1890
1899,579.35,1890
1900,578.82,1900
1901,579.32,1900
1902,579.01,1900
1903,579,1900
1904,579.8,1900
1905,579.83,1900
1906,579.72,1900
1907,579.89,1900
1908,580.01,1900
1909,579.37,1900
1910,578.69,1910
1911,578.19,1910
1912,578.67,1910
1913,579.55,1910
1914,578.92,1910
1915,578.09,1910
1916,579.37,1910
1917,580.13,1910
1918,580.14,1910
1919,579.51,1910
1920,579.24,1920
1921,578.66,1920
1922,578.86,1920
1923,578.05,1920
1924,577.79,1920
1925,576.75,1920
1926,576.75,1920
1927,577.82,1920
1928,578.64,1920
1929,580.58,1920
1930,579.48,1930
1931,577.38,1930
1932,576.9,1930
1933,576.94,1930
1934,576.24,1930
1935,576.84,1930
1936,576.85,1930
1937,576.9,1930
1938,577.79,1930
1939,578.18,1930
1940,577.51,1940
1941,577.23,1940
1942,578.42,1940
1943,579.61,1940
1944,579.05,1940
1945,579.26,1940
1946,579.22,1940
1947,579.38,1940
1948,579.1,1940
1949,577.95,1940
1950,578.12,1950
1951,579.75,1950
1952,580.85,1950
1953,580.41,1950
1954,579.96,1950
1955,579.61,1950
1956,578.76,1950
1957,578.18,1950
1958,577.21,1950
1959,577.13,1950
1960,579.1,1960
1961,578.25,1960
1962,577.91,1960
1963,576.89,1960
1964,575.96,1960
1965,576.8,1960
1966,577.68,1960
1967,578.38,1960
1968,578.52,1960
1969,579.74,1960
1970,579.31,1970
1971,579.89,1970
1972,579.96,1970
